request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"cc86766e-e75e-4929-a903-345ec4ce36b7",GET,/,"debug=true&locale=en",,302,,,,874071095642100,874071167265700,874071172460400
"50f5fbd8-7bc0-4f96-a039-1a7598bece59",GET,/any/system/welcome,,,200,text/html;charset=utf-8,service=722,,874071192697500,874071203686700,874074206232300
"5c29a595-e1e2-4e84-b259-e778a348f9fb",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,874074317094200,874074326332200,874074328014300
"6bd81085-bd2f-4971-9af4-5c5fc5dfe4af",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,874074339820000,874074342263600,874074343393400
"1b773631-4914-4ca7-b7bf-b3a47a842a1a",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,874074349366100,874074351775100,874074352614900
"f0bfb86e-8d03-4982-a997-b62e443394cf",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,874074358072700,874074360803500,874074361869200
"3ca37555-0dc8-46a0-aadd-c0f0e9534b2d",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,874074367847400,874074370021700,874074370801000
"1733e8a5-d699-4cfd-aa15-96aa57430d45",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,874074378463900,874074380531900,874074381308200
"247a2ba4-36fc-4320-8d81-0756d227bcf5",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,874074386807900,874074388873300,874074389550100
"cf7e581b-b1eb-4582-8e7c-50a6cd8eaeb8",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,874074394813800,874074396700600,874074397977700
"2b6bc8ca-c189-486a-8cb9-f4d3f8fd8892",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,874074402630200,874074406268900,874074407543500
"b6ff0786-7e91-4729-bd58-38d1baf887e3",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,874074418433400,874074421680600,874074422532600
"c35857e2-cfcc-4629-973d-57d7cdcda849",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,874074427936200,874074431008100,874074432421100
"cb9469f5-fe54-4097-af5a-5cc92c38d42c",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,874074452821000,874074456638400,874074457541500
"b3e5fb77-07be-4211-9215-8efca3a4ed2a",GET,/images/logo.png,,,200,image/png,,,874074463357700,874074465450400,874074466121100
"985a1aab-a645-4499-8b07-d3edfae6e713",GET,/images/banner.png,,,200,image/png,,,874074482059200,874074484555700,874074485301300
"c95679b6-7886-4acc-8274-6c8de0389ebc",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-solid-900.woff2",,,200,application/font-woff2,,,874074517434700,874074520037200,874074520739000
