request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"366eddde-c334-459b-abb8-7f971c76fe34",GET,/,"debug=true&locale=en",,302,,,,868908102514800,868908166350900,868908171060800
"5ad8ef34-6f1d-4cce-8900-4b08b2381913",GET,/any/system/welcome,,,200,text/html;charset=utf-8,service=722,,868908189927700,868908199037800,868911109881000
"3181266d-f223-49ee-9950-2abf7e8420ed",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,868911222930200,868911231465000,868911232816100
"87dc2406-6dc1-4438-819e-536870a6db3f",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,868911243431300,868911246039900,868911247018400
"01ae1004-5f55-42ae-925b-eef4c1f7e46d",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,868911253216500,868911255081300,868911255799700
"aab6a720-8770-4ddd-bc94-1871a3dc2ce5",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,868911262490200,868911264688600,868911265426700
"c99a4134-5788-4fe1-8353-18cfd7ff596a",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,868911271245700,868911274251600,868911275219600
"123980aa-e9a5-46e0-adb1-9aa40e503f0e",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,868911283441000,868911285531100,868911286231400
"c583a476-93cd-4020-a8a7-71c5005925f8",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,868911291339500,868911293518000,868911294106600
"711b76c6-557e-4672-a01d-2f848b3fb7cd",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,868911298441500,868911300587700,868911301291200
"e691bcc7-86a1-4877-9507-881435f7e791",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,868911305622200,868911307482600,868911308660400
"3a146a0d-88c1-4e8c-b2f2-bcea1130657d",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,868911315528900,868911317409200,868911318103000
"81e83af8-c7c9-4b22-9e06-4d71ddf32269",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,868911322672200,868911325060100,868911325891000
